name,continent,date,confirm,suspect,dead,heal
莫桑比克,非洲,03.28,8,0,0,0
老挝,亚洲,03.29,8,0,0,0
塞舌尔,非洲,03.29,8,0,0,0
苏里南,南美洲,03.28,8,0,0,0
海地,北美洲,03.28,8,0,0,0
津巴布韦,非洲,03.28,7,0,1,0
安哥拉,非洲,03.30,7,0,2,0
安提瓜和巴布达,北美洲,03.28,7,0,0,0
加蓬,非洲,03.27,7,0,1,0
贝宁,非洲,03.28,6,0,0,0
中非共和国,非洲,03.28,6,0,0,0
苏丹,非洲,03.30,6,0,1,0
佛得角,非洲,03.29,6,0,1,0
梵蒂冈,欧洲,03.29,6,0,0,0
尼泊尔,亚洲,03.25,5,0,0,1
毛里塔尼亚,非洲,03.30,5,0,0,2
乍得,非洲,03.29,5,0,0,0
尼加拉瓜,北美洲,03.28,4,0,1,0
不丹,亚洲,03.30,4,0,0,0
冈比亚,非洲,03.30,4,0,1,0
利比里亚,非洲,03.21,3,0,0,0
索马里,非洲,03.27,3,0,0,0
伯利兹,北美洲,03.28,2,0,0,0
几内亚比绍,非洲,03.25,2,0,0,0
东帝汶,亚洲,03.21,1,0,0,0
巴布亚新几内亚,大洋洲,03.21,1,0,0,0
